,original,item,number,answer,lemma,pos,gram,sems,rel
11,Я увидел осу‚ летавшую вперед и назад по комнате.,Я увидел осу‚ летавшую вперед,6,и,и,CONJ,,,
12,Я увидел осу‚ летавшую вперед и назад по комнате.,Я увидел осу‚ летавшую вперед и,7,назад,назад,ADV,,,
13,Я увидел осу‚ летавшую вперед и назад по комнате.,Я увидел осу‚ летавшую вперед и назад,8,по,по,PR,,,
14,Я увидел осу‚ летавшую вперед и назад по комнате.,Я увидел осу‚ летавшую вперед и назад по,9,комнате,комната,S,"жен,дат,ед","{'комната (помещение)': 'комната (помещение)>помещение, внутренность здания>место в пространстве>физическая сущность>постоянная сущность>'}","{'комната (помещение)': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['анфилада']}}"
15,У них был уютный‚ спокойный дом‚ крепкая семья.,,1,у,у,PR,,,
16,У них был уютный‚ спокойный дом‚ крепкая семья.,У,2,них,они,SPRO,"мн,род",,
17,У них был уютный‚ спокойный дом‚ крепкая семья.,У них,3,был,быть,V,"нп,прош,ед,изъяв,муж,несов","{'пребывать в состоянии': 'пребывать в состоянии>отношение между сущностями>', 'представлять собой, являться': 'представлять собой, являться>отношение между сущностями>', 'находиться, пребывать': 'находиться, пребывать>отношение между сущностями>', 'произойти, случиться': 'произойти, случиться>', 'присутствие (пребывание)': 'присутствие (пребывание)>находиться, пребывать>отношение между сущностями>', 'существовать, быть, иметься': 'существовать, быть, иметься>обстоятельства, обстановка, условия>'}","{'пребывать в состоянии': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'представлять собой, являться': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'находиться, пребывать': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'произойти, случиться': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'присутствие (пребывание)': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'существовать, быть, иметься': {'antonyms': ['нереальный, несуществующий'], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}}"
18,У них был уютный‚ спокойный дом‚ крепкая семья.,У них был,4,уютный,уютный,A,"им,ед,полн,муж","{'уютный (удобный, приятный)': 'уютный (удобный, приятный)>удобный для пользования>приятный (доставляющий удовольствие)>свойство, характеристика>'}","{'уютный (удобный, приятный)': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}}"
19,У них был уютный‚ спокойный дом‚ крепкая семья.,У них был уютный‚,5,спокойный,спокойный,A,"им,ед,полн,муж","{'спокойствие (расположение духа)': 'спокойствие (расположение духа)>обстоятельства, обстановка, условия>', 'спокойное поведение': 'спокойное поведение>поведение>', 'спокойный (исполненный спокойствия)': 'спокойный (исполненный спокойствия)>обстоятельства, обстановка, условия>', 'спокойный (приятный для глаз)': 'спокойный (приятный для глаз)>приятный на вид>приятный (доставляющий удовольствие)>свойство, характеристика>'}","{'спокойствие (расположение духа)': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'спокойное поведение': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'спокойный (исполненный спокойствия)': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'спокойный (приятный для глаз)': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}}"
20,У них был уютный‚ спокойный дом‚ крепкая семья.,У них был уютный‚ спокойный,6,дом,дом,S,"муж,им,ед","{'дом (свое жилье)': 'дом (свое жилье)>жилое помещение>недвижимое имущество>имущество, собственность>роль, положение, место>', 'здание': 'здание>сооружение, постройка>физический объект>физическая сущность>постоянная сущность>'}","{'дом (свое жилье)': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['домосед', 'домашнее изготовление', 'домашнее хозяйство']}, 'здание': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': ['стена здания', 'помещение, внутренность здания', 'лепнина, лепное украшение', 'балкон здания', 'подъезд здания', 'коробка здания', 'коридор здания', 'цоколь здания', 'крыло строения', 'этаж'], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['снос сооружений', 'инвестирование в недвижимость', 'комендант здания', 'портик здания']}}"
21,У них был уютный‚ спокойный дом‚ крепкая семья.,У них был уютный‚ спокойный дом‚,7,крепкая,крепкий,A,"им,ед,полн,жен","{'твердость, стойкость, непоколебимость': 'твердость, стойкость, непоколебимость>отличительное свойство>свойство, характеристика>', 'крепкий, прочный': 'крепкий, прочный>свойство, характеристика>', 'насыщенный, крепкий': 'насыщенный, крепкий>обстоятельства, обстановка, условия>', 'физически крепкий': 'физически крепкий>конституциональные особенности организма>отличительное свойство>свойство, характеристика>', 'прочный (неизменный)': 'прочный (неизменный)>постоянный, неизменный>одинаковый>сходство>'}","{'твердость, стойкость, непоколебимость': {'antonyms': [], 'domains': ['психологические науки'], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'крепкий, прочный': {'antonyms': ['некрепкий, непрочный'], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'насыщенный, крепкий': {'antonyms': ['жидкий, неконцентрированный'], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'физически крепкий': {'antonyms': [], 'domains': ['генетика', 'зоология'], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'прочный (неизменный)': {'antonyms': ['непрочный (недолговечный)'], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}}"
22,У них был уютный‚ спокойный дом‚ крепкая семья.,У них был уютный‚ спокойный дом‚ крепкая,8,семья,семья,S,"жен,им,ед","{'семья': 'семья>группа людей>совокупность людей>совокупность, целое>'}","{'семья': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['охрана семьи', 'бессемейный', 'родственник', 'семейный врач', 'совместная собственность', 'алименты']}}"
23,В каждом углу комнаты сидели по две кошки.,,1,в,в,PR,,,
24,В каждом углу комнаты сидели по две кошки.,В,2,каждом,каждый,APRO,"пр,ед,муж",,
25,В каждом углу комнаты сидели по две кошки.,В каждом,3,углу,угол,S,"муж,местн,ед","{'угол (место)': 'угол (место)>место в пространстве>физическая сущность>постоянная сущность>', 'угол между лучами': 'угол между лучами>геометрическая фигура>контур (графическое изображение)>графическое изображение>изображение (результат)>постоянная сущность>'}","{'угол (место)': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['сторона (боковая часть)']}, 'угол между лучами': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['теодолит', 'единица измерения угла', 'угломер']}}"
26,В каждом углу комнаты сидели по две кошки.,В каждом углу,4,комнаты,комната,S,"жен,род,ед","{'комната (помещение)': 'комната (помещение)>помещение, внутренность здания>место в пространстве>физическая сущность>постоянная сущность>'}","{'комната (помещение)': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['анфилада']}}"
27,В каждом углу комнаты сидели по две кошки.,В каждом углу комнаты,5,сидели,сидеть,V,"несов,прош,мн,изъяв","{'сидеть (находиться в помещении)': 'сидеть (находиться в помещении)>находиться, пребывать>отношение между сущностями>', 'сидеть (находиться о пчелах, птицах)': 'сидеть (находиться о пчелах, птицах)>находиться, пребывать>отношение между сущностями>', 'сидеть (подходить об одежде)': 'сидеть (подходить об одежде)>подойти (соответствовать)>удовлетворить, отвечать требованиям>соответствие>соотношение>отношение между сущностями>', 'сидеть, сидячее положение': 'сидеть, сидячее положение>находиться, пребывать>отношение между сущностями>'}","{'сидеть (находиться в помещении)': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'сидеть (находиться о пчелах, птицах)': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'сидеть (подходить об одежде)': {'antonyms': [], 'domains': ['мода'], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'сидеть, сидячее положение': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': ['пересидеть (просидеть дольше кого -н.)', 'просидеть (испортить)', 'засидеться (задержаться)'], 'conclusions': [], 'causes': ['сесть, принять сидячее положение'], 'effects': [], 'related': []}}"
28,В каждом углу комнаты сидели по две кошки.,В каждом углу комнаты сидели,6,по,по,PR,,,
29,В каждом углу комнаты сидели по две кошки.,В каждом углу комнаты сидели по,7,две,два,NUM,"им,жен",,
30,В каждом углу комнаты сидели по две кошки.,В каждом углу комнаты сидели по две,8,кошки,кошка,S,"жен,род,ед","{'кошачьи': 'кошачьи>хищное млекопитающее>млекопитающее>позвоночное животное>животное>живой организм>биологическая сущность>физическая сущность>постоянная сущность>', 'кошки для лазания': 'кошки для лазания>приспособление (предмет)>предмет, вещь>физический объект>физическая сущность>постоянная сущность>', 'домашняя кошка': 'домашняя кошка>домашнее животное>животное>живой организм>биологическая сущность>физическая сущность>постоянная сущность>'}","{'кошачьи': {'antonyms': [], 'domains': ['биология', 'зоология'], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'кошки для лазания': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'домашняя кошка': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['котиться, родить котят', 'мурлыкать (тихо урчать о кошке)', 'кошатник (любитель кошек)']}}"
31,В воскресенье вся дружная семья поехала на дачу.,,1,в,в,PR,,,
32,В воскресенье вся дружная семья поехала на дачу.,В,2,воскресенье,воскресение,S,"сред,вин,ед","{'воскресение умершего': 'воскресение умершего>восстановление прежнего состояния>изменение состояния>измениться, изменение>процесс, смена состояний>происходящая сущность>', 'воскреснуть, воспрянуть духом': 'воскреснуть, воспрянуть духом>взбодриться, прийти в бодрое настроение>оживиться (стать оживленным)>изменение состояния>измениться, изменение>процесс, смена состояний>происходящая сущность>'}","{'воскресение умершего': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['воскресить умершего', 'жить (существовать)']}, 'воскреснуть, воспрянуть духом': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}}"
33,В воскресенье вся дружная семья поехала на дачу.,В воскресенье,3,вся,весь,APRO,"им,ед,жен",,
34,В воскресенье вся дружная семья поехала на дачу.,В воскресенье вся,4,дружная,дружный,A,"им,ед,полн,жен","{'дружба': 'дружба>близкие отношения>межличностные отношения>занятие, деятельность>', 'слаженный (упорядоченный, согласованный)': 'слаженный (упорядоченный, согласованный)>согласованный (такой, в кот-м достигнуто единство)>соответствующий>свойство, характеристика>'}","{'дружба': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'слаженный (упорядоченный, согласованный)': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}}"
35,В воскресенье вся дружная семья поехала на дачу.,В воскресенье вся дружная,5,семья,семья,S,"жен,им,ед","{'семья': 'семья>группа людей>совокупность людей>совокупность, целое>'}","{'семья': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['охрана семьи', 'бессемейный', 'родственник', 'семейный врач', 'совместная собственность', 'алименты']}}"
36,В воскресенье вся дружная семья поехала на дачу.,В воскресенье вся дружная семья,6,поехала,поехать,V,"сов,прош,ед,изъяв,жен","{'соскользнуть': 'соскользнуть>падать (двигаться вниз)>опуститься вниз>движение, перемещение>', 'отправиться в путь': 'отправиться в путь>направиться, следовать в направлении>движение, перемещение>', 'ехать, двигаться о средствах передвижения': 'ехать, двигаться о средствах передвижения>движение, перемещение>'}","{'соскользнуть': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': ['скользить по поверхности'], 'causes': [], 'effects': [], 'related': []}, 'отправиться в путь': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': ['тронуться с места'], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'ехать, двигаться о средствах передвижения': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': ['приехать', 'разъехаться (разминуться)', 'проехать, пробыть в пути', 'переехать (проехав, задавить или раздавить)', 'укатать (разровнять)', 'ехать, двигаться при помощи средств передвижения', 'тряска в транспорте'], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}}"
37,В воскресенье вся дружная семья поехала на дачу.,В воскресенье вся дружная семья поехала,7,на,на,PR,,,
38,В воскресенье вся дружная семья поехала на дачу.,В воскресенье вся дружная семья поехала на,8,дачу,дача,S,"жен,вин,ед","{'дать, вручить': 'дать, вручить>выдать (дать, вручить)>действие, целенаправленное действие>происходящая сущность>', 'загородная дача': 'загородная дача>загородный дом>жилое здание>здание>сооружение, постройка>физический объект>физическая сущность>постоянная сущность>'}","{'дать, вручить': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'загородная дача': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['дачный кооператив', 'дачный участок', 'дачник']}}"
39,Чтоб было удобнее‚ поправь ремешок своего рюкзака.,,1,чтоб,чтоб,CONJ,,,
40,Чтоб было удобнее‚ поправь ремешок своего рюкзака.,Чтоб,2,было,быть,V,"нп,прош,ед,изъяв,сред,несов","{'пребывать в состоянии': 'пребывать в состоянии>отношение между сущностями>', 'представлять собой, являться': 'представлять собой, являться>отношение между сущностями>', 'находиться, пребывать': 'находиться, пребывать>отношение между сущностями>', 'произойти, случиться': 'произойти, случиться>', 'присутствие (пребывание)': 'присутствие (пребывание)>находиться, пребывать>отношение между сущностями>', 'существовать, быть, иметься': 'существовать, быть, иметься>обстоятельства, обстановка, условия>'}","{'пребывать в состоянии': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'представлять собой, являться': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'находиться, пребывать': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'произойти, случиться': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'присутствие (пребывание)': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'существовать, быть, иметься': {'antonyms': ['нереальный, несуществующий'], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}}"
41,Чтоб было удобнее‚ поправь ремешок своего рюкзака.,Чтоб было,3,удобнее,удобно,ADV,срав,,
42,Чтоб было удобнее‚ поправь ремешок своего рюкзака.,Чтоб было удобнее‚,4,поправь,поправлять,V,"пе,ед,пов,2-л,сов","{'поправить (восстановить)': 'поправить (восстановить)>восстановить прежнее состояние>изменить состояние>вызвать, породить>обуславливать, способствовать>влиять, воздействовать>отношение между сущностями>', 'поправить, указать на ошибку': 'поправить, указать на ошибку>указать (дать знать)>сообщить, уведомить>высказать>действие, целенаправленное действие>', 'исправить недостатки, ошибки': 'исправить недостатки, ошибки>исправить (улучшить)>улучшить>изменить, сделать иным>обуславливать, способствовать>влиять, воздействовать>отношение между сущностями>'}","{'поправить (восстановить)': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'поправить, указать на ошибку': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'исправить недостатки, ошибки': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}}"
43,Чтоб было удобнее‚ поправь ремешок своего рюкзака.,Чтоб было удобнее‚ поправь,5,ремешок,ремешок,S,"муж,вин,ед","{'ремень (пояс)': 'ремень (пояс)>пояс (предмет одежды)>одежда>изделие легкой промышленности>непродовольственные товары>товар>продукт труда>постоянная сущность>', 'ремень': 'ремень>полоса (кусок)>кусок (отдельная часть)>предмет, вещь>физический объект>физическая сущность>постоянная сущность>'}","{'ремень (пояс)': {'antonyms': [], 'domains': ['мода'], 'domain_items': [], 'meronyms': ['пряжка'], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'ремень': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}}"
44,Чтоб было удобнее‚ поправь ремешок своего рюкзака.,Чтоб было удобнее‚ поправь ремешок,6,своего,свой,SPRO,"муж,род,ед",,
45,Чтоб было удобнее‚ поправь ремешок своего рюкзака.,Чтоб было удобнее‚ поправь ремешок своего,7,рюкзака,рюкзак,S,"муж,род,ед",{'рюкзак': 'рюкзак>сумка для ношения>вместилище>место в пространстве>физическая сущность>постоянная сущность>'},"{'рюкзак': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}}"
46,В доме лесника охотники нашли крупу‚ сухари и спички.,,1,в,в,PR,,,
